Query,NaCl,KCl,NH4Cl,Na2SO4,K2SO4,NH4NO3,NaH2PO4,NaNO3,Na3PO4,KBr,KNO3,RbCl
NaCl,0,3,0,0,1,0,0,30,63,0,3,0
KCl,0,0,0,2,2,0,0,0,96,0,0,0
NH4Cl,0,0,0,16,23,0,0,0,61,0,0,0
Na2SO4,0,0,1,0,87,0,0,1,5,0,6,0
K2SO4,0,2,0,0,15,0,0,17,63,0,2,0
NH4NO3,0,0,0,18,36,0,0,8,26,0,12,0
NaH2PO4,0,0,0,1,2,0,0,60,26,0,11,0
NaNO3,0,0,0,2,10,0,0,5,78,0,4,1
Na3PO4,0,1,0,0,11,0,0,0,87,0,1,0
KBr,0,0,0,0,0,0,0,35,65,0,0,0
KNO3,0,8,0,0,71,0,0,0,5,2,14,0
RbCl,0,0,0,4,2,0,0,0,93,0,1,0
