Query,NaCl,KCl,NH4Cl,Na2SO4,K2SO4,NH4NO3,NaH2PO4,NaNO3,Na3PO4,KBr,KNO3,RbCl
NaCl,99,0,0,1,0,0,0,0,0,0,0,0
KCl,98,2,0,0,0,0,0,0,0,0,0,0
NH4Cl,9,0,61,29,0,0,1,0,0,0,0,0
Na2SO4,0,0,0,99,0,0,0,0,1,0,0,0
K2SO4,18,0,0,60,21,0,0,1,0,0,0,0
NH4NO3,0,0,0,2,0,36,47,9,6,0,0,0
NaH2PO4,0,0,0,0,0,0,100,0,0,0,0,0
NaNO3,7,0,0,5,0,0,2,86,0,0,0,0
Na3PO4,0,0,0,6,0,0,0,0,94,0,0,0
KBr,99,0,0,0,0,0,0,0,0,1,0,0
KNO3,2,0,0,9,0,0,0,4,15,0,70,0
RbCl,34,0,0,37,0,0,3,8,0,0,0,18
