Query,NaCl,KCl,NH4Cl,Na2SO4,K2SO4,NH4NO3,NaH2PO4,NaNO3,Na3PO4,KBr,KNO3,RbCl
NaCl,0,3,1,0,0,0,0,35,59,0,2,0
KCl,0,0,0,0,0,0,0,3,96,0,1,0
NH4Cl,0,0,0,7,22,0,0,0,71,0,0,0
Na2SO4,0,0,1,0,82,0,0,0,8,0,9,0
K2SO4,0,1,0,0,7,0,0,17,59,0,16,0
NH4NO3,0,0,0,10,27,0,0,11,24,0,28,0
NaH2PO4,0,1,0,1,0,0,0,68,27,0,3,0
NaNO3,0,0,0,0,9,0,0,8,81,0,2,0
Na3PO4,0,0,0,0,11,0,0,0,88,0,1,0
KBr,0,0,0,0,0,0,0,40,60,0,0,0
KNO3,0,9,0,0,55,0,0,0,6,1,29,0
RbCl,0,0,0,3,2,0,0,0,90,0,5,0
